boxofficeType,showRange,showRange_start,showRange_end,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,조회일,days_after_open,상영지속일수
일별 박스오피스,20240323~20240323,2024-03-23,2024-03-23,6,6,0,OLD,20236732,가여운 것들,2024-03-06,61449507,1.4,27643058,81.8,1305626990,5970,2743,85,130553,262,347,2024-03-23,17,21
일별 박스오피스,20240324~20240324,2024-03-24,2024-03-24,6,6,0,OLD,20236732,가여운 것들,2024-03-06,48582918,1.2,-12866589,-20.9,1354209908,4732,-1238,-20.7,135285,253,336,2024-03-24,18,21
일별 박스오피스,20240325~20240325,2024-03-25,2024-03-25,5,5,1,OLD,20236732,가여운 것들,2024-03-06,20081163,1.6,-28501755,-58.7,1374291071,2024,-2708,-57.2,137309,242,322,2024-03-25,19,21
일별 박스오피스,20240326~20240326,2024-03-26,2024-03-26,5,5,0,OLD,20236732,가여운 것들,2024-03-06,20504020,1.8,422857,2.1,1394795091,2097,73,3.6,139406,245,331,2024-03-26,20,21
일별 박스오피스,20240306~20240306,2024-03-06,2024-03-06,9,9,0,NEW,20230614,대결! 애니메이션,2024-03-06,13590263,0.5,13590263,100,30566263,2122,2122,100,4244,103,170,2024-03-06,0,1
일별 박스오피스,20240306~20240306,2024-03-06,2024-03-06,4,4,8,OLD,20234789,패스트 라이브즈,2024-03-06,71103168,2.7,66201968,1350.7,134675834,8376,7826,1422.9,15009,606,1112,2024-03-06,0,21
일별 박스오피스,20240307~20240307,2024-03-07,2024-03-07,5,5,-1,OLD,20234789,패스트 라이브즈,2024-03-06,56431629,2.4,-14671539,-20.6,191107463,6546,-1830,-21.8,21555,587,1047,2024-03-07,1,21
일별 박스오피스,20240308~20240308,2024-03-08,2024-03-08,5,5,0,OLD,20234789,패스트 라이브즈,2024-03-06,77299309,2.2,20867680,37,268406772,8719,2173,33.2,30274,613,1063,2024-03-08,2,21
일별 박스오피스,20240309~20240309,2024-03-09,2024-03-09,6,6,-1,OLD,20234789,패스트 라이브즈,2024-03-06,123833915,1.5,46534606,60.2,392240687,13727,5008,57.4,44001,599,972,2024-03-09,3,21
일별 박스오피스,20240310~20240310,2024-03-10,2024-03-10,6,6,0,OLD,20234789,패스트 라이브즈,2024-03-06,100091129,1.4,-23742786,-19.2,492331816,11096,-2631,-19.2,55097,562,895,2024-03-10,4,21
일별 박스오피스,20240311~20240311,2024-03-11,2024-03-11,4,4,2,OLD,20234789,패스트 라이브즈,2024-03-06,49524451,2.6,-50566678,-50.5,541856267,5680,-5416,-48.8,60777,551,945,2024-03-11,5,21
일별 박스오피스,20240312~20240312,2024-03-12,2024-03-12,4,4,0,OLD,20234789,패스트 라이브즈,2024-03-06,54763645,3.1,5239194,10.6,596619912,6371,691,12.2,67148,566,961,2024-03-12,6,21
일별 박스오피스,20240313~20240313,2024-03-13,2024-03-13,7,7,-3,OLD,20234789,패스트 라이브즈,2024-03-06,34194456,1.8,-20569189,-37.6,630814368,3603,-2768,-43.4,70751,308,486,2024-03-13,7,21
일별 박스오피스,20240314~20240314,2024-03-14,2024-03-14,6,6,1,OLD,20234789,패스트 라이브즈,2024-03-06,29680917,1.8,-4513539,-13.2,660495285,3134,-469,-13,73885,320,486,2024-03-14,8,21
일별 박스오피스,20240315~20240315,2024-03-15,2024-03-15,6,6,0,OLD,20234789,패스트 라이브즈,2024-03-06,39419872,1.6,9738955,32.8,699915157,4008,874,27.9,77893,316,497,2024-03-15,9,21
일별 박스오피스,20240316~20240316,2024-03-16,2024-03-16,6,6,0,OLD,20234789,패스트 라이브즈,2024-03-06,63637712,1.2,24217840,61.4,763552869,6361,2353,58.7,84254,325,488,2024-03-16,10,21
일별 박스오피스,20240317~20240317,2024-03-17,2024-03-17,7,7,-1,OLD,20234789,패스트 라이브즈,2024-03-06,52520407,1.2,-11117305,-17.5,816073276,5320,-1041,-16.4,89574,331,491,2024-03-17,11,21
일별 박스오피스,20240318~20240318,2024-03-18,2024-03-18,4,4,3,OLD,20234789,패스트 라이브즈,2024-03-06,21955734,1.8,-30564673,-58.2,838029010,2314,-3006,-56.5,91888,289,441,2024-03-18,12,21
일별 박스오피스,20240319~20240319,2024-03-19,2024-03-19,7,7,-3,OLD,20234789,패스트 라이브즈,2024-03-06,22490695,1.9,534961,2.4,860519705,2393,79,3.4,94281,291,438,2024-03-19,13,21
일별 박스오피스,20240320~20240320,2024-03-20,2024-03-20,6,6,1,OLD,20234789,패스트 라이브즈,2024-03-06,20967095,1.4,-1523600,-6.8,881486800,2195,-198,-8.3,96476,258,382,2024-03-20,14,21
일별 박스오피스,20240321~20240321,2024-03-21,2024-03-21,7,7,-1,OLD,20234789,패스트 라이브즈,2024-03-06,16740378,1.4,-4226717,-20.2,898227178,1735,-460,-21,98211,234,355,2024-03-21,15,21
일별 박스오피스,20240322~20240322,2024-03-22,2024-03-22,9,9,-2,OLD,20234789,패스트 라이브즈,2024-03-06,21475034,1.1,4734656,28.3,919702212,2153,418,24.1,100364,252,370,2024-03-22,16,21
일별 박스오피스,20240323~20240323,2024-03-23,2024-03-23,7,7,2,OLD,20234789,패스트 라이브즈,2024-03-06,40708695,0.9,19233661,89.6,960410907,3999,1846,85.7,104363,263,379,2024-03-23,17,21
일별 박스오피스,20240324~20240324,2024-03-24,2024-03-24,8,8,-1,OLD,20234789,패스트 라이브즈,2024-03-06,31849651,0.8,-8859044,-21.8,992260558,3167,-832,-20.8,107530,251,361,2024-03-24,18,21
일별 박스오피스,20240325~20240325,2024-03-25,2024-03-25,4,4,4,OLD,20234789,패스트 라이브즈,2024-03-06,22170417,1.7,-9679234,-30.4,1014430975,2073,-1094,-34.5,109603,230,323,2024-03-25,19,21
일별 박스오피스,20240326~20240326,2024-03-26,2024-03-26,8,7,-3,OLD,20234789,패스트 라이브즈,2024-03-06,14231839,1.2,-7938578,-35.8,1028662814,1485,-588,-28.4,111088,224,321,2024-03-26,20,21
일별 박스오피스,20240309~20240309,2024-03-09,2024-03-09,10,10,8,OLD,20234808,생츄어리 2 : 쿼카가 너무해,2024-03-07,28344368,0.3,26465268,1408.4,38242768,3112,2881,1247.2,4232,246,272,2024-03-09,2,4
일별 박스오피스,20240310~20240310,2024-03-10,2024-03-10,10,10,0,OLD,20234808,생츄어리 2 : 쿼카가 너무해,2024-03-07,28899039,0.4,554671,2,67141807,3181,69,2.2,7413,249,278,2024-03-10,3,4
일별 박스오피스,20240313~20240313,2024-03-13,2024-03-13,5,5,12,OLD,20247782,랜드 오브 배드,2024-03-13,40878555,2.2,38304555,1488.1,46792555,5369,5083,1777.3,6009,385,679,2024-03-13,0,14
일별 박스오피스,20240314~20240314,2024-03-14,2024-03-14,4,4,1,OLD,20247782,랜드 오브 배드,2024-03-13,32434293,1.9,-8444262,-20.7,79226848,3960,-1409,-26.2,9969,386,668,2024-03-14,1,14
일별 박스오피스,20240315~20240315,2024-03-15,2024-03-15,5,5,-1,OLD,20247782,랜드 오브 배드,2024-03-13,37653475,1.6,5219182,16.1,116880323,4388,428,10.8,14357,384,670,2024-03-15,2,14
